age,job,marital,education,default,balance,housing,loan,day,month,duration
59,admin.,married,secondary,no,2343,yes,no,5,may,1042
56,admin.,married,secondary,no,45,no,no,5,may,1467
41,technician,married,secondary,no,1270,yes,no,5,may,1389
55,services,married,secondary,no,2476,yes,no,5,may,579
54,admin.,married,tertiary,no,184,no,no,5,may,673
42,management,single,tertiary,no,0,yes,yes,5,may,562
56,management,married,tertiary,no,830,yes,yes,6,may,1201
60,retired,divorced,secondary,no,545,yes,no,6,may,1030
37,technician,married,secondary,no,1,yes,no,6,may,608
28,services,single,secondary,no,5090,yes,no,6,may,1297
38,admin.,single,secondary,no,100,yes,no,7,may,786
30,blue-collar,married,secondary,no,309,yes,no,7,may,1574
29,management,married,tertiary,no,199,yes,yes,7,may,1689
46,blue-collar,single,tertiary,no,460,yes,no,7,may,1102
31,technician,single,tertiary,no,703,yes,no,8,may,943
35,management,divorced,tertiary,no,3837,yes,no,8,may,1084
32,blue-collar,single,primary,no,611,yes,no,8,may,541
49,services,married,secondary,no,-8,yes,no,8,may,1119
41,admin.,married,secondary,no,55,yes,no,8,may,1120
49,admin.,divorced,secondary,no,168,yes,yes,8,may,513
28,admin.,divorced,secondary,no,785,yes,no,8,may,442
43,management,single,tertiary,no,2067,yes,no,8,may,756
43,management,divorced,tertiary,no,388,yes,no,8,may,2087
43,blue-collar,married,primary,no,-192,yes,no,8,may,1120
37,unemployed,single,secondary,no,381,yes,no,8,may,985
35,blue-collar,single,secondary,no,40,yes,no,9,may,617
31,technician,single,tertiary,no,22,yes,no,9,may,483
43,blue-collar,single,secondary,no,3,yes,no,9,may,929
31,admin.,married,secondary,no,307,yes,no,9,may,538
28,blue-collar,single,secondary,no,759,yes,no,9,may,710
32,blue-collar,married,secondary,yes,-1,yes,no,9,may,653
60,technician,married,primary,no,65,yes,no,9,may,1028
26,blue-collar,single,secondary,no,82,yes,no,9,may,654
40,blue-collar,married,secondary,no,10,yes,no,9,may,1692
33,blue-collar,divorced,primary,no,390,yes,no,9,may,665
32,management,single,tertiary,no,311,no,no,12,may,757
35,blue-collar,married,primary,no,414,no,no,13,may,504
33,management,divorced,secondary,no,5,yes,no,13,may,1346
38,management,married,tertiary,no,119,yes,no,13,may,568
23,entrepreneur,single,primary,no,4,yes,no,13,may,395
60,blue-collar,married,primary,no,1262,yes,yes,13,may,1015
48,management,married,tertiary,no,1949,yes,no,13,may,683
45,entrepreneur,divorced,tertiary,no,-395,yes,no,13,may,470
36,blue-collar,married,secondary,no,1165,yes,no,13,may,1001
52,management,married,unknown,no,2240,yes,no,13,may,845
35,blue-collar,divorced,primary,no,300,yes,no,13,may,945
43,technician,married,secondary,no,3285,yes,no,13,may,1721
52,housemaid,married,secondary,no,3923,yes,no,14,may,942
53,technician,divorced,primary,no,1443,yes,no,14,may,476
48,blue-collar,divorced,primary,no,24,yes,no,14,may,832
41,blue-collar,single,primary,no,1618,yes,no,14,may,1553
39,management,divorced,tertiary,no,517,yes,yes,14,may,1328
59,retired,married,secondary,no,1521,yes,yes,14,may,1125
41,blue-collar,married,secondary,no,2823,yes,no,14,may,858
48,blue-collar,married,secondary,no,1405,yes,no,14,may,629
40,admin.,married,secondary,no,1535,yes,no,14,may,704
48,blue-collar,married,secondary,no,1596,yes,no,14,may,760
60,retired,married,primary,no,1542,yes,no,14,may,930
40,technician,single,unknown,no,3652,yes,no,14,may,1028
57,technician,married,tertiary,no,-1,no,no,14,may,850
51,blue-collar,married,secondary,no,7180,yes,no,14,may,927
41,blue-collar,divorced,secondary,no,5291,yes,no,14,may,1423
41,blue-collar,married,secondary,no,1384,yes,no,15,may,1162
52,blue-collar,divorced,primary,no,-191,yes,no,15,may,755
59,blue-collar,married,primary,no,320,yes,no,15,may,695
44,blue-collar,married,unknown,no,146,yes,no,15,may,483
49,unknown,married,primary,no,341,yes,yes,15,may,520
40,services,married,primary,no,-9,yes,no,15,may,920
41,admin.,married,primary,no,-306,yes,no,15,may,500
